symbol,bidPrice,bidQty,askPrice,askQty
ETHBTC,0.05387000,0.27250000,0.05388000,40.99130000
LTCBTC,0.00187700,77.54200000,0.00187800,7.68300000
BNBBTC,0.00708200,0.91100000,0.00708400,0.93400000
NEOBTC,0.00029450,19.83000000,0.00029460,18.11000000
QTUMETH,0.00154400,32.50000000,0.00155000,16.60000000
EOSETH,0.00034980,143.40000000,0.00035100,77.40000000
SNTETH,0.00002044,2456.00000000,0.00002055,16376.00000000
BNTETH,0.00037350,23.00000000,0.00037620,164.20000000
BCCBTC,0.00000000,0.00000000,0.00000000,0.00000000
GASBTC,0.00021810,779.90000000,0.00021850,109.50000000
BNBETH,0.13150000,0.97300000,0.13160000,148.74300000
BTCUSDT,36884.03000000,0.04706000,36884.04000000,6.94671000
ETHUSDT,1986.60000000,1.62880000,1986.61000000,58.16910000
HSRBTC,0.00000000,0.00000000,0.00000000,0.00000000
OAXETH,0.00000000,0.00000000,0.00000000,0.00000000
DNTETH,0.00000000,0.00000000,0.00000000,0.00000000
MCOETH,0.00000000,0.00000000,0.00000000,0.00000000
ICNETH,0.00000000,0.00000000,0.00000000,0.00000000
MCOBTC,0.00000000,0.00000000,0.00000000,0.00000000
WTCBTC,0.00000441,46.00000000,0.00000442,173.00000000
WTCETH,0.00000000,0.00000000,0.00000000,0.00000000
LRCBTC,0.00000576,1124.00000000,0.00000577,1304.00000000
LRCETH,0.00010682,2351.00000000,0.00010721,1935.00000000
QTUMBTC,0.00008320,854.70000000,0.00008340,213.70000000
YOYOBTC,0.00000000,0.00000000,0.00000000,0.00000000
OMGBTC,0.00000000,0.00000000,0.00000000,0.00000000
OMGETH,0.00000000,0.00000000,0.00000000,0.00000000
ZRXBTC,0.00001064,1944.00000000,0.00001067,1093.00000000
ZRXETH,0.00000000,0.00000000,0.00000000,0.00000000
STRATBTC,0.00000000,0.00000000,0.00000000,0.00000000
STRATETH,0.00000000,0.00000000,0.00000000,0.00000000
SNGLSBTC,0.00000000,0.00000000,0.00000000,0.00000000
SNGLSETH,0.00000000,0.00000000,0.00000000,0.00000000
BQXBTC,0.00000000,0.00000000,0.00000000,0.00000000
BQXETH,0.00000000,0.00000000,0.00000000,0.00000000
KNCBTC,0.00002057,48.40000000,0.00002060,657.60000000
KNCETH,0.00000000,0.00000000,0.00000000,0.00000000
FUNBTC,0.00000000,0.00000000,0.00000000,0.00000000
FUNETH,0.00000245,218874.00000000,0.00000246,76800.00000000
SNMBTC,0.00000000,0.00000000,0.00000000,0.00000000
SNMETH,0.00000000,0.00000000,0.00000000,0.00000000
NEOETH,0.00546200,35.13000000,0.00547600,25.69000000
IOTABTC,0.00000488,20321.00000000,0.00000489,6518.00000000
IOTAETH,0.00009060,1107.00000000,0.00009080,783.00000000
LINKBTC,0.00038100,4.05000000,0.00038110,42.41000000
LINKETH,0.00707600,1.03000000,0.00708200,21.61000000
XVGBTC,0.00000000,0.00000000,0.00000000,0.00000000
XVGETH,0.00000168,633706.00000000,0.00000170,115339.00000000
SALTBTC,0.00000000,0.00000000,0.00000000,0.00000000
SALTETH,0.00000000,0.00000000,0.00000000,0.00000000
